datetime,open,high,low,close,ewap,vwap,transaction,quantity,amount,MA-short,MA-long
2015-06-01 13:30:00,30.75,31.15,30.73,31.14,30.8812,30.9503795401,31.15,8353268.0,258536815.0,30.868,30.6866666667
2015-06-01 13:35:00,31.15,31.26,31.13,31.25,31.1979,31.200136807,31.25,13812157.0,430941188.0,30.902,30.7263333333
2015-06-01 13:40:00,31.25,31.43,31.24,31.29,31.3499,31.3567303321,31.3,16494409.0,517210735.0,30.944,30.7546666667
2015-06-01 13:45:00,31.3,31.65,31.25,31.49,31.4358,31.4823615926,31.49,15479232.0,487322779.0,31.012,30.7893333333
2015-06-01 13:50:00,31.49,31.68,31.45,31.68,31.5321,31.5522274463,31.69,11957707.0,377292291.0,31.095,30.83
2015-06-01 13:55:00,31.69,32.35,31.66,32.33,31.9148,31.9718087341,32.32,23928404.0,765034356.0,31.242,30.8953333333
2015-06-01 14:00:00,32.32,32.89,32.31,32.62,32.5629,32.5607004994,32.61,32951747.0,1072931965.0,31.424,30.9676666667
2015-06-01 14:05:00,32.61,33.26,32.61,33.15,33.012,33.0246232468,33.1,34616028.0,1143181283.0,31.653,31.0583333333
2015-06-01 14:10:00,33.1,33.12,32.71,32.95,32.9148,32.9372287885,32.91,17811286.0,586654402.0,31.865,31.1336666667
2015-06-01 14:15:00,32.91,32.96,32.48,32.74,32.712,32.7012705454,32.71,15539154.0,508150079.0,32.064,31.2016666667
2015-06-01 14:20:00,32.71,32.8,32.56,32.58,32.6843,32.6903514398,32.59,10440252.0,341295507.0,32.208,31.2663333333
2015-06-01 14:25:00,32.59,32.76,32.52,32.67,32.659,32.6421685922,32.63,7213288.0,235457363.0,32.35,31.3346666667
2015-06-01 14:30:00,32.63,32.69,32.61,32.62,32.6551,32.6598626228,32.61,4499873.0,146965234.0,32.483,31.402
2015-06-01 14:35:00,32.61,32.71,32.6,32.71,32.6354,32.6400499002,32.7,5244063.0,171166478.0,32.605,31.4686666667
2015-06-01 14:40:00,32.7,32.73,32.59,32.6,32.6631,32.6671487652,32.59,5077109.0,165854675.0,32.697,31.5323333333
2015-06-01 14:45:00,32.59,32.68,32.52,32.66,32.5998,32.6007976625,32.66,6655948.0,216989214.0,32.73,31.597
2015-06-01 14:50:00,32.66,32.68,32.63,32.63,32.6603,32.6616222136,32.62,5151467.0,168255269.0,32.731,31.662
2015-06-01 14:55:00,32.62,32.63,32.47,32.48,32.5376,32.5253200938,32.47,8858498.0,288125483.0,32.664,31.723
2015-06-01 15:00:00,32.47,32.53,32.42,32.5,32.4847,32.4850649332,32.35,12002022.0,389886464.0,32.619,31.7786666667
2015-06-02 09:35:00,32.35,32.35,32.18,32.27,32.2740540541,32.2762118132,32.27,14759061.0,476366579.0,32.572,31.8273333333
2015-06-02 09:40:00,32.27,32.35,32.03,32.04,32.1886,32.179153968,32.04,19434490.0,625385446.0,32.518,31.8646666667
2015-06-02 09:45:00,32.04,32.05,31.88,32.0,31.9885,31.9872027173,31.99,19636825.0,628127102.0,32.451,31.901
2015-06-02 09:50:00,31.99,32.14,31.99,32.05,32.0775,32.073147821,32.05,8184468.0,262501652.0,32.394,31.9403333333
2015-06-02 09:55:00,32.05,32.1,32.01,32.09,32.0506,32.0496365188,32.09,6052721.0,193987508.0,32.332,31.983
2015-06-02 10:00:00,32.09,32.3,32.09,32.15,32.1938,32.2018850208,32.15,6249374.0,201241623.0,32.287,32.0263333333
2015-06-02 10:05:00,32.15,32.18,32.07,32.15,32.1169,32.1021989377,32.16,5494744.0,176393365.0,32.236,32.0693333333
2015-06-02 10:10:00,32.16,32.4,32.12,32.39,32.182,32.1940982763,32.38,5529266.0,178009733.0,32.212,32.1223333333
2015-06-02 10:15:00,32.38,32.47,32.25,32.38,32.3708,32.3724651351,32.39,6674912.0,216083356.0,32.202,32.173
2015-06-02 10:20:00,32.39,32.4,32.13,32.15,32.2724,32.2800290246,32.18,8078659.0,260779347.0,32.167,32.217
2015-06-02 10:25:00,32.18,32.34,32.16,32.18,32.2282,32.2205352414,32.2,4616795.0,148755606.0,32.158,32.2646666667
2015-06-02 10:30:00,32.2,32.28,32.16,32.16,32.2027,32.1995238669,32.16,4099274.0,131994671.0,32.17,32.2986666667
2015-06-02 10:35:00,32.16,32.17,32.0,32.09,32.0785,32.052051748,32.1,6894024.0,220967614.0,32.179,32.3266666667
2015-06-02 10:40:00,32.1,32.14,32.06,32.09,32.0971,32.0951036316,32.09,3699354.0,118731150.0,32.183,32.3533333333
2015-06-02 10:45:00,32.09,32.25,32.08,32.25,32.1599,32.1570407137,32.29,4067251.0,130790756.0,32.199,32.3786666667
2015-06-02 10:50:00,32.29,32.29,32.19,32.27,32.2568,32.261762201,32.23,4457244.0,143798546.0,32.211,32.3983333333
2015-06-02 10:55:00,32.23,32.27,32.18,32.21,32.2213,32.2168687248,32.21,3696213.0,119080409.0,32.217,32.3943333333
2015-06-02 11:00:00,32.21,32.35,32.19,32.34,32.2535,32.2561818839,32.35,4098791.0,132211348.0,32.212,32.385
2015-06-02 11:05:00,32.35,32.36,32.2,32.22,32.281,32.2826243811,32.22,3798869.0,122637461.0,32.196,32.354
2015-06-02 11:10:00,32.22,32.24,32.14,32.2,32.1881,32.1884147109,32.2,3152567.0,101476134.0,32.201,32.329
2015-06-02 11:15:00,32.2,32.28,32.09,32.1,32.1966,32.195926997,32.11,3890250.0,125250205.0,32.193,32.3076666667
